Timestamp,canister_mass,dv_current,dv_voltage,ev1_status,ev2_status,pump_current,pump_voltage,sump_mass
1769412546.3897321,4.998786383764569,0.5,24.0,False,False,2.0,24.0,0.0002498269190209061
1769412546.9436958,5.000036128831907,0.5,24.0,False,False,2.0,24.0,0.002251326654707459
1769412547.4948304,4.997708918281294,0.5,24.0,False,False,2.0,24.0,0.0009551784886400357
1769412548.0325274,5.00212768736213,0.5,24.0,False,False,2.0,24.0,0.0
1769412548.582518,5.001330403715778,0.5,24.0,False,False,2.0,24.0,0.0
1769412549.1119137,4.99820926299842,0.5,24.0,False,False,2.0,24.0,0.0
1769412549.660381,4.997292058698185,0.5,24.0,False,False,2.0,24.0,0.0024732272351109122
1769412550.2114232,4.998220990148671,0.5,24.0,False,False,2.0,24.0,0.0010977707237585978
1769412550.746992,4.4979241441333615,0.6,24.0,True,False,0.2,24.0,0.4976860910552543
1769412551.2875001,3.5970716779918184,0.6,24.0,True,False,0.2,24.0,1.4025819728033466
1769412551.8276646,2.701158945175346,0.6,24.0,True,False,0.2,24.0,2.3009962772327386
1769412552.374529,1.8020071816389784,0.6,24.0,True,False,0.2,24.0,3.2001124229380737
1769412552.931277,0.9019044487881924,0.6,24.0,True,False,0.2,24.0,4.102721537525426
1769412553.4766665,0.0,0.6,24.0,True,False,0.2,24.0,5.000746559745301
1769412554.0169394,7.503867796829341e-05,0.5,24.0,False,False,3.0,24.0,4.302279827520588
1769412554.571842,0.002238099115553658,0.5,24.0,False,False,3.0,24.0,3.399029298034627
1769412555.1325963,0.00156240550022439,0.5,24.0,False,False,3.0,24.0,2.5019017998466984
1769412555.6748827,0.0029651215648135035,0.5,24.0,False,False,3.0,24.0,1.597813771899593
1769412556.231253,0.0,0.5,24.0,False,False,3.0,24.0,0.6987473629758041
